config_key,K,lam_lin,lam_nonlin,seed,pred_r2,sharpe,phi,drift
"(2, 0.05, 5e-05)",2,0.05,5e-05,10,0.018538475036621094,0.9935091039266496,0.245415528279362,0.9620574615110098
"(2, 0.05, 5e-05)",2,0.05,5e-05,30,0.013435184955596924,0.9817963568802314,0.013797732018514162,0.8687435237510737
"(2, 0.05, 5e-05)",2,0.05,5e-05,45,0.018804073333740234,0.981748774102194,0.43162633981085935,0.9380749155259279
"(2, 0.05, 5e-05)",2,0.05,5e-05,99,0.01206737756729126,0.9954602030140015,0.14557794880969382,0.8879690414796622
"(2, 0.05, 5e-05)",2,0.05,5e-05,2048,0.016651630401611328,0.9971885060546839,0.40875514576200733,0.9234209366293502
"(2, 0.05, 0.0001)",2,0.05,0.0001,10,0.01847517490386963,0.9926740269228077,0.23299027425831959,0.9620337946388188
"(2, 0.05, 0.0001)",2,0.05,0.0001,30,0.0165177583694458,0.9933750017101888,0.06312559612103655,0.9134732531220844
"(2, 0.05, 0.0001)",2,0.05,0.0001,45,0.018762409687042236,0.98311643839226,0.423660120769351,0.9380566186068989
"(2, 0.05, 0.0001)",2,0.05,0.0001,99,0.012235283851623535,0.9842276285070194,0.148549486625253,0.8879705611746788
"(2, 0.05, 0.0001)",2,0.05,0.0001,2048,0.016479790210723877,0.995188607930687,0.22373460320838998,0.8906608300032498
"(2, 0.05, 0.0005)",2,0.05,0.0005,10,0.017844200134277344,0.9977595171550089,0.1677079561662958,0.9620948622338239
"(2, 0.05, 0.0005)",2,0.05,0.0005,30,0.016815125942230225,1.0154658696917567,0.0149403283856593,0.9500920512358054
"(2, 0.05, 0.0005)",2,0.05,0.0005,45,0.017599403858184814,1.0022614699555719,0.3836843063030227,0.9380854696777376
"(2, 0.05, 0.0005)",2,0.05,0.0005,99,0.01718205213546753,0.9830979605115528,0.3518522353387339,0.9318681040605968
"(2, 0.05, 0.0005)",2,0.05,0.0005,2048,0.015532135963439941,0.9970253227565828,0.28688452762132366,0.923468938907259
"(2, 0.1, 1e-06)",2,0.1,1e-06,10,0.007913053035736084,0.6755254561562597,0.7294422363975351,0.5192756977947357
"(2, 0.1, 1e-06)",2,0.1,1e-06,30,0.013090729713439941,0.6548963066811074,0.6434028815797272,0.6949470710608376
"(2, 0.1, 1e-06)",2,0.1,1e-06,45,0.006907463073730469,0.6764619422235143,0.6857263478867827,0.5415942416940044
"(2, 0.1, 1e-06)",2,0.1,1e-06,99,0.010292291641235352,0.6117011692057127,0.7554179687744788,0.7367882435085434
