Model,config_key,K,lam_lin,lam_nonlin,seed,selected_by_validation,pred_r2,sharpe,phi,drift
ResCAE,"cae:(2, 0.1, 1e-05)",2,0.1,1e-05,99,False,0.017342448234558105,0.4892445738392288,1.412903731729291e-06,0.8492563962936401
ResCAE,"cae:(2, 0.1, 1e-05)",2,0.1,1e-05,2048,False,0.017311275005340576,0.472233838507976,3.005011291232993e-07,0.7158486247062683
ResCAE,"cae:(2, 0.1, 5e-05)",2,0.1,5e-05,10,False,0.017042338848114014,0.47359209011006587,2.149926419327875e-06,0.9333046674728394
ResCAE,"cae:(2, 0.1, 5e-05)",2,0.1,5e-05,30,False,0.0162389874458313,0.45126346488022767,1.7921029422643577e-07,0.8180350065231323
ResCAE,"cae:(2, 0.1, 5e-05)",2,0.1,5e-05,45,False,0.017349064350128174,0.4718195994106084,3.3453621434340554e-06,0.9324684143066406
ResCAE,"cae:(2, 0.1, 5e-05)",2,0.1,5e-05,99,False,0.017549514770507812,0.505506606991705,5.384082781658661e-07,0.9087337851524353
ResCAE,"cae:(2, 0.1, 5e-05)",2,0.1,5e-05,2048,False,0.01710885763168335,0.441404889116683,8.635871352383872e-07,0.893876314163208
ResCAE,"cae:(2, 0.1, 0.0001)",2,0.1,0.0001,10,False,0.01697516441345215,0.4830767394076787,3.5873817281824143e-07,0.9331434965133667
ResCAE,"cae:(2, 0.1, 0.0001)",2,0.1,0.0001,30,False,0.016174018383026123,0.4414708626842086,2.259006247937983e-07,0.8180464506149292
ResCAE,"cae:(2, 0.1, 0.0001)",2,0.1,0.0001,45,False,0.017384052276611328,0.465836033784123,2.9286880305924686e-06,0.9323369264602661
ResCAE,"cae:(2, 0.1, 0.0001)",2,0.1,0.0001,99,False,0.017512917518615723,0.5101224268937128,2.6063447907027256e-06,0.9086281061172485
ResCAE,"cae:(2, 0.1, 0.0001)",2,0.1,0.0001,2048,False,0.017111778259277344,0.4487621540218261,9.092253633667794e-07,0.8937475681304932
ResCAE,"cae:(2, 0.1, 0.0005)",2,0.1,0.0005,10,True,0.016677141189575195,0.5019285235244519,2.623879149372142e-07,0.9331411123275757
ResCAE,"cae:(2, 0.1, 0.0005)",2,0.1,0.0005,30,True,0.017438292503356934,0.5062136201661521,1.5577014149010378e-07,0.8792929649353027
ResCAE,"cae:(2, 0.1, 0.0005)",2,0.1,0.0005,45,True,0.0176241397857666,0.47882557925956176,2.040788666112248e-06,0.9409318566322327
ResCAE,"cae:(2, 0.1, 0.0005)",2,0.1,0.0005,99,True,0.016817092895507812,0.4838592328858266,2.5520150374258934e-06,0.9359303116798401
ResCAE,"cae:(2, 0.1, 0.0005)",2,0.1,0.0005,2048,True,0.017216861248016357,0.5124839431206215,8.061160834206787e-07,0.8939350247383118
ResCAE,"cae:(3, 0.001, 1e-06)",3,0.001,1e-06,10,False,0.011578202247619629,0.5419299806814531,0.9999993910349997,1.0000965595245361
ResCAE,"cae:(3, 0.001, 1e-06)",3,0.001,1e-06,30,False,0.011920750141143799,0.5384404498189009,0.6798575371808889,0.634783148765564
ResCAE,"cae:(3, 0.001, 1e-06)",3,0.001,1e-06,45,False,0.015483200550079346,0.5812376757097076,0.4159323473370314,0.6057774424552917
ResCAE,"cae:(3, 0.001, 1e-06)",3,0.001,1e-06,99,False,0.007127106189727783,0.6841280767855824,0.8609554160194551,0.8244852423667908
ResCAE,"cae:(3, 0.001, 1e-06)",3,0.001,1e-06,2048,False,0.015973210334777832,0.7755493483220737,1.1502119779088755e-07,0.4286164343357086
ResCAE,"cae:(3, 0.001, 1e-05)",3,0.001,1e-05,10,False,0.014504432678222656,0.5094070695696861,4.0591576730206997e-07,0.5648128986358643
